# schema=3
# config-scope<TAB>module<TAB>source path relative to repository<TAB>target path relative to invoking user HOME<TAB>mode
physical-v1	desktop-shared	config/home/.config/DankMaterialShell/plugins/dankmaintenance/MainWidget.qml	.config/DankMaterialShell/plugins/dankmaintenance/MainWidget.qml	644
physical-v1	desktop-shared	config/home/.config/DankMaterialShell/plugins/dankmaintenance/MainWidgetSettings.qml	.config/DankMaterialShell/plugins/dankmaintenance/MainWidgetSettings.qml	644
physical-v1	desktop-shared	config/home/.config/DankMaterialShell/plugins/dankmaintenance/StartupCheck.qml	.config/DankMaterialShell/plugins/dankmaintenance/StartupCheck.qml	644
physical-v1	desktop-shared	config/home/.config/DankMaterialShell/plugins/dankmaintenance/bg-winter.png	.config/DankMaterialShell/plugins/dankmaintenance/bg-winter.png	600
physical-v1	desktop-shared	config/home/.config/DankMaterialShell/plugins/dankmaintenance/collect-status	.config/DankMaterialShell/plugins/dankmaintenance/collect-status	755
physical-v1	desktop-shared	config/home/.config/DankMaterialShell/plugins/dankmaintenance/plugin.json	.config/DankMaterialShell/plugins/dankmaintenance/plugin.json	644
physical-v1	desktop-shared	config/home/.config/alacritty/alacritty.toml	.config/alacritty/alacritty.toml	644
physical-v1	desktop-shared	config/home/.config/alacritty/dank-theme.toml	.config/alacritty/dank-theme.toml	644
physical-v1	desktop-shared	config/home/.config/cava/themes/solarized_dark	.config/cava/themes/solarized_dark	644
physical-v1	desktop-shared	config/home/.config/cava/themes/tricolor	.config/cava/themes/tricolor	644
physical-v1	desktop-shared	config/home/.config/DankMaterialShell/settings.json	.config/DankMaterialShell/settings.json	644
physical-v1	desktop-shared	config/home/.config/DankMaterialShell/plugin_settings.json	.config/DankMaterialShell/plugin_settings.json	644
physical-v1	desktop-shared	config/home/.config/environment.d/90-dms.conf	.config/environment.d/90-dms.conf	644
physical-v1	input-fcitx-rime	config/home/.config/fcitx5/config	.config/fcitx5/config	600
physical-v1	input-fcitx-rime	config/home/.config/fcitx5/profile	.config/fcitx5/profile	600
physical-v1	input-fcitx-rime	config/home/.config/fcitx5/conf/classicui.conf	.config/fcitx5/conf/classicui.conf	600
physical-v1	input-fcitx-rime	config/home/.config/fcitx5/conf/notifications.conf	.config/fcitx5/conf/notifications.conf	600
physical-v1	input-fcitx-rime	config/home/.config/fcitx5/rime/default.custom.yaml	.config/fcitx5/rime/default.custom.yaml	644
physical-v1	desktop-shared	config/home/.config/fish/config.fish	.config/fish/config.fish	644
physical-v1	desktop-shared	config/home/.config/fish/conf.d/rustup.fish	.config/fish/conf.d/rustup.fish	644
physical-v1	desktop-shared	config/home/.config/fish/functions/paru.fish	.config/fish/functions/paru.fish	644
physical-v1	desktop-shared	config/home/.config/fuzzel/colors.ini	.config/fuzzel/colors.ini	644
physical-v1	desktop-shared	config/home/.config/fuzzel/fuzzel.ini	.config/fuzzel/fuzzel.ini	644
physical-v1	build-foundation	config/home/.config/git/ignore	.config/git/ignore	644
physical-v1	desktop-shared	config/home/.config/gtk-3.0/gtk.css	.config/gtk-3.0/gtk.css	644
physical-v1	desktop-shared	config/home/.config/gtk-3.0/dank-colors.css	.config/gtk-3.0/dank-colors.css	644
physical-v1	desktop-shared	config/home/.config/gtk-3.0/nemo.css	.config/gtk-3.0/nemo.css	644
physical-v1	desktop-shared	config/home/.config/gtk-4.0/gtk.css	.config/gtk-4.0/gtk.css	644
physical-v1	desktop-shared	config/home/.config/gtk-4.0/dank-colors.css	.config/gtk-4.0/dank-colors.css	644
physical-v1	wm-hyprland	config/home/.config/hypr/hyprland.lua	.config/hypr/hyprland.lua	644
physical-v1	wm-hyprland	config/home/.config/hypr/conf/monitors.lua	.config/hypr/conf/monitors.lua	644
physical-v1	wm-hyprland	config/home/.config/hypr/conf/appearance.lua	.config/hypr/conf/appearance.lua	644
physical-v1	wm-hyprland	config/home/.config/hypr/conf/input.lua	.config/hypr/conf/input.lua	644
physical-v1	wm-hyprland	config/home/.config/hypr/conf/keybinds.lua	.config/hypr/conf/keybinds.lua	644
physical-v1	wm-hyprland	config/home/.config/hypr/conf/windowrules.lua	.config/hypr/conf/windowrules.lua	644
physical-v1	wm-hyprland	config/home/.config/hypr/dms/colors.lua	.config/hypr/dms/colors.lua	644
physical-v1	desktop-shared	config/home/.config/kitty/kitty.conf	.config/kitty/kitty.conf	644
